policy_id,policy_type,line_of_business,policy_start_date,policy_end_date,agent_id,channel,premium_tier
POL-271188DF,Personal,Auto,2017-05-14,2027-05-12,AGT-7864,Digital,Mid
POL-640498C7,Personal,Auto,2017-01-14,2027-01-12,AGT-6019,Agent,Mid
POL-CF97326C,Personal,Auto,2019-12-08,2024-12-06,AGT-2822,Broker,Low
POL-65F32956,Personal,Auto,2019-02-18,2025-02-16,AGT-4223,Broker,Mid
POL-777CA675,Personal,Auto,2018-08-29,2026-08-27,AGT-7895,Digital,Mid
POL-FE2CD9BD,Personal,Homeowners,2019-07-28,2025-07-26,AGT-9177,Direct,Low
POL-E7E90F32,Personal,Auto,2016-03-27,2024-03-25,AGT-9661,Direct,Mid
POL-E896D034,Personal,Auto,2019-10-22,2029-10-19,AGT-4497,Digital,Mid
POL-8F296399,Personal,Auto,2017-02-09,2023-02-08,AGT-5379,Direct,Low
POL-2C814A65,Personal,Auto,2017-11-20,2027-11-18,AGT-5581,Broker,High
POL-0CC45FA6,Personal,Auto,2016-09-27,2026-09-25,AGT-1506,Broker,Low
POL-663CB914,Personal,Auto,2017-08-20,2027-08-18,AGT-2048,Agent,Mid
POL-B01E953F,Personal,Auto,2017-11-18,2022-11-17,AGT-1406,Broker,Mid
POL-3084DC6D,Personal,Auto,2018-05-28,2024-05-26,AGT-7635,Digital,Mid
POL-1A1193CE,Personal,Auto,2016-04-12,2021-04-11,AGT-3018,Direct,Low
POL-5282621F,Personal,Auto,2016-02-26,2021-02-24,AGT-7302,Broker,Mid
POL-3E059094,Personal,Auto,2018-12-04,2023-12-03,AGT-4377,Broker,High
POL-71F0CD74,Personal,Auto,2016-05-26,2023-05-25,AGT-8147,Agent,Low
POL-6388B43A,Personal,Auto,2019-10-30,2024-10-28,AGT-2039,Digital,Low
POL-FEB2A794,Personal,Auto,2021-05-02,2027-05-01,AGT-3926,Agent,Low
POL-C7BCD271,Personal,Auto,2017-12-15,2027-12-13,AGT-2843,Direct,Mid
POL-5C2C629C,Commercial,Commercial,2020-11-13,2030-11-11,AGT-4924,Digital,High
POL-1564D011,Personal,Auto,2015-04-23,2025-04-20,AGT-6057,Digital,High
POL-C617F57A,Personal,Auto,2015-06-27,2020-06-25,AGT-2514,Direct,High
POL-05EA645C,Personal,Auto,2019-10-17,2027-10-15,AGT-7002,Broker,High
POL-005C2FB3,Personal,Auto,2019-03-24,2027-03-22,AGT-9679,Agent,Low
POL-61DE3195,Commercial,Liability,2020-01-09,2025-01-07,AGT-1389,Direct,High
POL-CF720285,Personal,Auto,2015-04-16,2025-04-13,AGT-1774,Agent,Low
POL-C45AFC8F,Personal,Homeowners,2019-08-04,2026-08-02,AGT-9568,Digital,Low
POL-151B14EF,Personal,Auto,2017-02-19,2027-02-17,AGT-6840,Direct,Mid
POL-F3BBC4BB,Personal,Auto,2017-05-02,2022-05-01,AGT-9275,Direct,Low
POL-717F582C,Personal,Auto,2016-12-01,2024-11-29,AGT-7346,Broker,Low
POL-8513939A,Commercial,Liability,2021-01-28,2026-01-27,AGT-7455,Agent,High
POL-3745261C,Personal,Auto,2015-01-19,2025-01-16,AGT-2419,Direct,Mid
POL-46942BA1,Personal,Auto,2020-06-03,2028-06-01,AGT-5605,Agent,High
POL-6394807E,Personal,Auto,2019-01-05,2024-01-04,AGT-4287,Broker,Low
POL-DDFB4688,Personal,Auto,2019-01-11,2025-01-09,AGT-8501,Broker,High
POL-2981BDAE,Personal,Auto,2019-03-08,2026-03-06,AGT-1388,Broker,Low
POL-CFA8EB3A,Personal,Auto,2020-02-07,2025-02-05,AGT-1163,Direct,Low
POL-817A59D0,Personal,Auto,2016-10-22,2021-10-21,AGT-6008,Agent,Mid
POL-0B4AD485,Personal,Homeowners,2015-02-14,2025-02-11,AGT-9733,Broker,High
POL-38CE925B,Commercial,Commercial,2018-07-11,2028-07-08,AGT-9953,Agent,High
POL-26B0CB57,Personal,Auto,2017-09-15,2025-09-13,AGT-6341,Direct,Mid
POL-63620659,Personal,Auto,2016-08-16,2026-08-14,AGT-4868,Agent,Low
POL-B5C6350E,Personal,Auto,2016-08-26,2024-08-24,AGT-3456,Agent,High
POL-0D8DD4FB,Personal,Auto,2017-05-11,2022-05-10,AGT-9909,Direct,Low
POL-FC502190,Personal,Auto,2015-11-21,2024-11-18,AGT-2648,Digital,Mid
POL-8F7A4EF6,Personal,Auto,2015-01-26,2020-01-25,AGT-2135,Agent,High
POL-C021CC39,Personal,Auto,2020-02-09,2029-02-06,AGT-5574,Broker,Mid
POL-FDF9377A,Personal,Auto,2017-11-09,2024-11-07,AGT-4531,Direct,High
POL-E478E39B,Personal,Auto,2021-01-25,2026-01-24,AGT-5461,Broker,Mid
POL-63DAEE67,Commercial,Commercial,2021-03-12,2027-03-11,AGT-9116,Agent,High
POL-74DF2C91,Personal,Auto,2016-03-04,2025-03-02,AGT-3428,Digital,Mid
POL-9730FDCB,Personal,Auto,2019-01-13,2029-01-10,AGT-8889,Agent,Mid
POL-946BF6CF,Personal,Auto,2018-02-12,2026-02-10,AGT-2905,Broker,Low
POL-6494E691,Personal,Auto,2019-07-29,2024-07-27,AGT-3912,Agent,Mid
POL-34056FB7,Personal,Homeowners,2015-08-30,2025-08-27,AGT-1040,Agent,Low
POL-F8E07B95,Personal,Homeowners,2016-01-31,2025-01-28,AGT-7106,Digital,Mid
POL-374384A9,Personal,Auto,2015-12-10,2022-12-08,AGT-8725,Broker,High
POL-67CA99A5,Commercial,Liability,2018-02-04,2026-02-02,AGT-8974,Broker,High
POL-DED9D14E,Personal,Auto,2021-09-08,2031-09-06,AGT-2506,Digital,Mid
POL-766CB9E1,Personal,Auto,2019-10-20,2026-10-18,AGT-7901,Digital,Low
POL-28A2B5AD,Personal,Auto,2019-07-10,2024-07-08,AGT-2271,Agent,Low
POL-ACDE3083,Commercial,Liability,2021-06-29,2026-06-28,AGT-6655,Direct,High
POL-FAA4FFAC,Personal,Auto,2019-02-09,2027-02-07,AGT-7320,Agent,Low
POL-39CF7F6D,Personal,Auto,2015-03-30,2025-03-27,AGT-2373,Digital,Mid
POL-9D472A37,Personal,Auto,2020-11-06,2029-11-04,AGT-1994,Agent,Mid
POL-19B17075,Commercial,Liability,2017-05-08,2025-05-06,AGT-1656,Agent,High
POL-7AB240A8,Commercial,Commercial,2015-01-13,2021-01-11,AGT-7374,Agent,High
POL-FF89E017,Personal,Auto,2018-09-24,2025-09-22,AGT-6530,Direct,High
POL-FDC5E2DD,Commercial,Commercial,2021-09-07,2026-09-06,AGT-2074,Direct,High
POL-318DACD1,Commercial,Commercial,2017-01-25,2024-01-24,AGT-5501,Direct,High
POL-88FCCFE2,Personal,Auto,2018-01-19,2026-01-17,AGT-8161,Direct,Low
POL-C33D8FFE,Personal,Auto,2016-02-12,2026-02-09,AGT-3142,Broker,Low
POL-E3EB2A22,Personal,Auto,2015-01-19,2025-01-16,AGT-6450,Agent,Mid
POL-16325919,Personal,Auto,2015-08-13,2024-08-10,AGT-3634,Direct,Mid
POL-F980C1BF,Personal,Auto,2019-02-18,2024-02-17,AGT-3348,Agent,Mid
POL-ECECF54A,Personal,Auto,2020-08-09,2029-08-07,AGT-4528,Agent,Low
POL-D256900E,Personal,Auto,2016-03-05,2022-03-04,AGT-4169,Agent,High
POL-1BEA7896,Personal,Auto,2017-12-21,2025-12-19,AGT-5459,Agent,Mid
POL-729748B2,Commercial,Liability,2016-09-21,2026-09-19,AGT-2848,Direct,High
POL-9DE3EB7D,Personal,Auto,2015-05-17,2025-05-14,AGT-4511,Broker,Low
POL-D902333C,Personal,Auto,2018-06-06,2026-06-04,AGT-6600,Direct,High
POL-49770E7C,Personal,Homeowners,2019-01-24,2025-01-22,AGT-4485,Agent,High
POL-F45C3E61,Personal,Auto,2019-01-21,2027-01-19,AGT-6906,Direct,Mid
POL-D0FDBE89,Personal,Auto,2017-07-16,2026-07-14,AGT-2041,Agent,Low
POL-F80A9DC1,Personal,Auto,2018-01-09,2026-01-07,AGT-2238,Direct,Low
POL-E9C77F4E,Personal,Homeowners,2015-08-21,2022-08-19,AGT-8789,Agent,High
POL-6932E0FE,Personal,Auto,2016-05-19,2023-05-18,AGT-5155,Agent,Low
POL-D5393981,Personal,Auto,2021-02-20,2029-02-18,AGT-6481,Direct,Mid
POL-42EE8B68,Personal,Auto,2019-07-15,2024-07-13,AGT-7657,Digital,Mid
POL-6224B310,Commercial,Liability,2021-07-21,2031-07-19,AGT-2314,Agent,High
POL-73B89EAC,Personal,Auto,2020-09-29,2025-09-28,AGT-9749,Direct,Low
POL-329C45A9,Personal,Auto,2019-03-14,2029-03-11,AGT-4814,Agent,High
POL-D0DEAD6C,Personal,Auto,2021-07-19,2026-07-18,AGT-9006,Direct,Low
POL-13451910,Personal,Auto,2017-11-05,2025-11-03,AGT-4750,Broker,High
POL-729DB625,Personal,Auto,2015-04-09,2022-04-07,AGT-4649,Direct,Mid
POL-B917AA2D,Personal,Auto,2015-11-01,2023-10-30,AGT-6404,Agent,Low
POL-C7F298A1,Personal,Auto,2016-09-21,2023-09-20,AGT-2717,Digital,Low
POL-7AFCADBE,Personal,Auto,2015-06-06,2025-06-03,AGT-6479,Direct,Mid
POL-C49C4E8A,Personal,Auto,2017-11-19,2022-11-18,AGT-9848,Agent,Mid
POL-85D12783,Personal,Auto,2019-12-19,2029-12-16,AGT-6806,Broker,Low
POL-BB15E723,Personal,Auto,2019-03-28,2028-03-25,AGT-1630,Digital,Low
POL-E087BDD2,Personal,Homeowners,2018-12-24,2027-12-22,AGT-7280,Agent,High
POL-805D6A6D,Personal,Auto,2016-01-01,2020-12-30,AGT-1300,Broker,Low
POL-0AF5E3CF,Personal,Auto,2019-02-17,2024-02-16,AGT-1930,Direct,Low
POL-97A5B4BE,Personal,Auto,2017-01-16,2024-01-15,AGT-3560,Broker,Mid
POL-D42C43C5,Personal,Auto,2015-05-15,2021-05-13,AGT-3743,Agent,Low
POL-0D1FBC49,Commercial,Commercial,2017-12-08,2026-12-06,AGT-1031,Broker,High
POL-9D0A0EAD,Personal,Auto,2017-08-08,2027-08-06,AGT-1156,Direct,Mid
POL-512BB85C,Personal,Auto,2017-08-14,2024-08-12,AGT-8102,Agent,Mid
POL-4233EE40,Personal,Auto,2020-01-31,2029-01-28,AGT-5091,Agent,Mid
POL-B81FE4C3,Personal,Auto,2019-07-08,2024-07-06,AGT-2798,Broker,Low
POL-D35C0AE2,Commercial,Liability,2019-05-20,2028-05-17,AGT-4864,Broker,High
POL-59CB1175,Personal,Auto,2016-06-23,2021-06-22,AGT-7235,Broker,Low
POL-7C244AE9,Commercial,Commercial,2020-04-05,2029-04-03,AGT-7608,Digital,High
POL-2F3B161B,Personal,Auto,2019-03-15,2026-03-13,AGT-3592,Agent,Low
POL-CE7A707D,Personal,Auto,2016-12-13,2023-12-12,AGT-2503,Broker,Low
POL-3EC187B7,Personal,Auto,2019-07-23,2025-07-21,AGT-9633,Direct,Mid
POL-E1F48CCE,Personal,Auto,2018-05-31,2025-05-29,AGT-6682,Digital,Low
POL-2C3E9C9D,Personal,Auto,2018-01-27,2028-01-25,AGT-9845,Broker,High
POL-9B190998,Personal,Auto,2016-10-05,2025-10-03,AGT-3759,Agent,High
POL-2B260E9B,Commercial,Liability,2018-06-22,2025-06-20,AGT-2001,Agent,High
POL-114FC2C6,Personal,Auto,2015-05-22,2021-05-20,AGT-4436,Broker,Mid
POL-EF76DF36,Commercial,Liability,2016-08-31,2024-08-29,AGT-3950,Broker,High
POL-06B774BF,Personal,Homeowners,2016-02-18,2025-02-15,AGT-7472,Broker,Mid
POL-760FBA28,Personal,Auto,2021-07-14,2027-07-13,AGT-7444,Agent,Low
POL-E30033FE,Personal,Homeowners,2017-11-12,2026-11-10,AGT-1643,Agent,High
POL-9D785969,Personal,Auto,2017-06-19,2027-06-17,AGT-6289,Digital,Low
POL-FB56C838,Personal,Auto,2017-01-01,2026-12-30,AGT-4084,Broker,Mid
POL-B3481D2F,Personal,Homeowners,2020-03-24,2028-03-22,AGT-6533,Agent,High
POL-89CB4B7F,Personal,Homeowners,2018-01-21,2024-01-20,AGT-4521,Agent,Mid
POL-5308B148,Personal,Auto,2020-07-01,2026-06-30,AGT-5836,Broker,Mid
POL-0E043972,Personal,Auto,2017-05-14,2026-05-12,AGT-7441,Broker,High
POL-EE17F64F,Personal,Auto,2016-02-18,2023-02-16,AGT-3640,Agent,Low
POL-A5FC2B78,Personal,Homeowners,2018-09-08,2023-09-07,AGT-2792,Digital,Mid
POL-EAA3AC76,Personal,Auto,2017-03-06,2026-03-04,AGT-7353,Digital,Low
POL-124B31AB,Personal,Auto,2020-05-04,2025-05-03,AGT-9525,Agent,Mid
POL-D9D43E41,Personal,Auto,2020-12-26,2030-12-24,AGT-4995,Direct,Mid
POL-1B83EF50,Personal,Auto,2018-01-25,2025-01-23,AGT-9978,Agent,Mid
POL-6907D874,Personal,Auto,2021-04-01,2028-03-30,AGT-2663,Broker,Mid
POL-6048916F,Personal,Homeowners,2018-04-27,2023-04-26,AGT-8369,Agent,High
POL-F8EA32B3,Personal,Auto,2017-07-05,2023-07-04,AGT-9892,Digital,Low
POL-46CD2B17,Personal,Auto,2018-03-31,2028-03-28,AGT-3697,Direct,High
POL-3E0F349B,Personal,Auto,2015-12-21,2023-12-19,AGT-2330,Agent,Low
POL-FEA44CAC,Personal,Auto,2020-01-02,2029-12-30,AGT-6974,Digital,Low
POL-FA9CBC35,Personal,Homeowners,2016-12-12,2026-12-10,AGT-8823,Digital,Mid
POL-CA873EFA,Personal,Auto,2017-07-15,2022-07-14,AGT-1748,Agent,Low
POL-B31BE357,Personal,Auto,2018-01-14,2025-01-12,AGT-6765,Direct,High
POL-1BC43797,Personal,Auto,2015-02-12,2025-02-09,AGT-8840,Agent,Mid
POL-6200A782,Personal,Auto,2015-02-07,2022-02-05,AGT-1288,Agent,Mid
POL-FC8D9AC7,Personal,Homeowners,2019-04-15,2027-04-13,AGT-5643,Agent,Low
POL-FB9FF135,Personal,Auto,2015-05-02,2023-04-30,AGT-1692,Agent,Low
POL-E403C4B2,Personal,Auto,2018-08-23,2027-08-21,AGT-2587,Agent,High
POL-00E9A44E,Commercial,Commercial,2017-04-24,2027-04-22,AGT-5376,Broker,High
POL-53F5AAB7,Personal,Auto,2016-09-21,2026-09-19,AGT-3946,Broker,Mid
POL-E0272E22,Personal,Auto,2016-04-17,2024-04-15,AGT-1766,Broker,Low
POL-FBF0F7A9,Personal,Auto,2019-04-07,2027-04-05,AGT-8205,Agent,Low
POL-612BFBDE,Personal,Auto,2021-04-11,2028-04-09,AGT-2826,Agent,High
POL-A304A9B9,Personal,Auto,2016-04-30,2021-04-29,AGT-8831,Agent,Low
POL-2535572A,Personal,Auto,2021-11-02,2030-10-31,AGT-2590,Digital,Low
POL-DB672216,Personal,Auto,2018-04-01,2023-03-31,AGT-5676,Agent,Mid
POL-F91C8FBD,Personal,Auto,2019-04-10,2028-04-07,AGT-7542,Broker,High
POL-5C308261,Personal,Auto,2019-12-16,2026-12-14,AGT-5322,Agent,Low
POL-37B677BB,Personal,Auto,2019-08-27,2028-08-24,AGT-4753,Digital,Mid
POL-3BA0249C,Personal,Auto,2020-03-10,2030-03-08,AGT-7755,Agent,Low
POL-E89BD23C,Personal,Auto,2018-11-13,2026-11-11,AGT-1105,Agent,Mid
POL-8772FC19,Personal,Auto,2018-03-08,2026-03-06,AGT-8434,Broker,Low
POL-AF69355F,Personal,Homeowners,2017-03-01,2024-02-28,AGT-7208,Direct,High
POL-2AB5D8AF,Personal,Homeowners,2016-06-11,2023-06-10,AGT-7882,Agent,High
POL-D9C684D4,Personal,Auto,2019-09-10,2024-09-08,AGT-4788,Agent,High
POL-A891CC65,Personal,Auto,2015-03-11,2020-03-09,AGT-4459,Digital,Mid
POL-24571DD0,Personal,Auto,2017-10-02,2026-09-30,AGT-6146,Broker,High
POL-3FE25CCF,Personal,Auto,2015-02-27,2025-02-24,AGT-6776,Direct,Mid
POL-C6E0F5FB,Personal,Auto,2016-10-12,2021-10-11,AGT-9325,Broker,Mid
POL-CCE65F3B,Personal,Auto,2019-02-04,2025-02-02,AGT-8715,Broker,Low
POL-9E9FAE61,Personal,Auto,2018-06-19,2026-06-17,AGT-1484,Agent,High
POL-57197E71,Personal,Auto,2017-08-22,2026-08-20,AGT-2365,Agent,Mid
POL-2A0F9876,Personal,Auto,2015-04-07,2024-04-04,AGT-9518,Direct,Mid
POL-9B931348,Personal,Auto,2018-08-12,2027-08-10,AGT-4492,Broker,Mid
POL-12BC3E41,Personal,Homeowners,2017-09-09,2022-09-08,AGT-6221,Agent,High
POL-3D02701F,Personal,Auto,2019-08-26,2025-08-24,AGT-1509,Digital,Mid
POL-1D4B9380,Commercial,Commercial,2018-05-25,2025-05-23,AGT-1941,Agent,High
POL-9C5C286E,Personal,Auto,2018-10-10,2023-10-09,AGT-4679,Broker,Mid
POL-4BFEDF47,Personal,Homeowners,2018-09-25,2025-09-23,AGT-7455,Agent,High
POL-2D52E119,Commercial,Commercial,2021-04-30,2028-04-28,AGT-7949,Broker,High
POL-4088EA78,Commercial,Liability,2019-09-25,2029-09-22,AGT-9051,Direct,High
POL-7440B31E,Personal,Homeowners,2018-12-02,2024-11-30,AGT-2773,Agent,High
POL-0C1BAB87,Personal,Auto,2018-10-26,2028-10-23,AGT-2816,Direct,Mid
POL-0F8CEF84,Personal,Auto,2015-09-25,2024-09-22,AGT-5876,Broker,Low
POL-726AF9E3,Personal,Auto,2021-10-07,2030-10-05,AGT-5921,Agent,Low
