customer_id,age_band,gender,customer_segment,tenure_years,clv_score,risk_score
CUST-974AB440,18-25,F,Loyal,14,692.31,7
CUST-923B0CCA,26-35,M,New,9,416.68,58
CUST-0DBFB4B6,36-45,M,Lapsed,1,16.58,30
CUST-90E173D7,36-45,M,New,10,113.91,45
CUST-0E83D15A,36-45,F,Lapsed,10,172.02,8
CUST-5FA8F4A6,36-45,M,New,9,545.75,10
CUST-592D3AC2,46-60,Unknown,At-Risk,11,148.96,33
CUST-34B037A8,46-60,M,Loyal,9,76.33,22
CUST-FE48D9EC,46-60,M,Loyal,11,315.23,20
CUST-F889AB9B,36-45,M,Loyal,8,516.92,14
CUST-FC4A06BA,26-35,M,Loyal,3,18.71,8
CUST-7B7EB9E5,46-60,M,At-Risk,2,96.71,6
CUST-C543AC5F,26-35,F,New,14,332.53,30
CUST-FC01CF36,46-60,M,Loyal,7,225.08,7
CUST-4253CC01,36-45,F,Loyal,5,122.33,21
CUST-1652FEA8,36-45,M,Loyal,5,321.52,8
CUST-52FD1F64,60+,F,Loyal,1,11.58,61
CUST-7C72F269,36-45,F,New,15,682.26,30
CUST-5D39779F,18-25,M,Loyal,2,3.27,24
CUST-02367317,60+,M,Loyal,4,119.82,49
CUST-F4B7C131,36-45,F,Loyal,7,197.48,38
CUST-3A6F8E61,36-45,F,Loyal,6,196.36,24
CUST-9B347E1B,26-35,M,Lapsed,1,44.73,38
CUST-FB0F6440,36-45,F,Loyal,5,261.83,26
CUST-5F6FEA7F,36-45,M,Loyal,12,587.97,34
CUST-0D569630,46-60,M,At-Risk,4,65.54,13
CUST-2D08CBC3,46-60,M,Lapsed,13,417.76,72
CUST-CA1B4B1B,36-45,F,At-Risk,6,184.44,63
CUST-ACFB9D6F,46-60,M,Loyal,1,15.11,6
CUST-128FC94D,46-60,F,At-Risk,2,36.41,50
CUST-D36589ED,18-25,M,Loyal,13,202.64,11
CUST-480C7CEC,36-45,M,At-Risk,7,253.8,5
CUST-2D783163,18-25,M,Loyal,15,208.75,13
CUST-2E507EE4,36-45,F,Loyal,12,177.31,34
CUST-A0391F9E,46-60,F,At-Risk,1,40.68,18
CUST-ECBC077C,46-60,F,At-Risk,5,177.09,43
CUST-94378A36,60+,M,At-Risk,11,360.94,26
CUST-AE478094,36-45,M,Lapsed,1,30.93,10
CUST-67B49534,18-25,M,Loyal,15,316.2,12
CUST-CD941174,26-35,F,Loyal,3,47.64,7
CUST-C3916F04,26-35,F,Loyal,12,395.41,29
CUST-F9CDDD32,36-45,F,Loyal,13,392.7,4
CUST-36BCDCD5,36-45,M,Loyal,8,420.88,20
CUST-05669C95,46-60,F,Loyal,13,356.75,3
CUST-08F1212B,26-35,F,At-Risk,14,231.45,22
CUST-68707027,26-35,F,Loyal,12,100.79,23
CUST-1247D047,26-35,F,Lapsed,11,365.3,39
CUST-F1C410BF,46-60,M,At-Risk,6,99.64,39
CUST-3A162AE0,36-45,M,Lapsed,5,132.26,34
CUST-47123AD9,26-35,Unknown,Loyal,14,107.31,6
CUST-CD02CB7D,36-45,M,Loyal,4,103.98,3
CUST-57C98894,26-35,F,Loyal,7,171.93,9
CUST-3C0ACCB0,36-45,Unknown,At-Risk,8,426.73,4
CUST-5E5A2564,46-60,F,Lapsed,6,118.16,1
CUST-B2C865AC,36-45,F,At-Risk,6,49.8,2
CUST-DBF39C09,26-35,M,Loyal,9,56.84,13
CUST-520E3907,26-35,F,Loyal,5,68.86,23
CUST-42295C87,18-25,F,At-Risk,15,687.48,40
CUST-36ABAB03,60+,Unknown,New,3,129.53,29
CUST-DA6672D1,46-60,M,Lapsed,6,153.26,36
CUST-2BEE93EE,36-45,F,At-Risk,13,462.75,25
CUST-7ADC2B37,36-45,M,At-Risk,8,92.02,20
CUST-3D4A4317,26-35,F,Lapsed,11,534.72,49
CUST-6242D23F,36-45,M,Loyal,10,358.99,10
CUST-9E5B9DCA,36-45,M,Loyal,5,192.8,8
CUST-09D57206,46-60,F,Loyal,12,155.05,41
CUST-9A1D0BC0,46-60,F,At-Risk,4,105.91,23
CUST-3914B4EC,26-35,Unknown,At-Risk,12,739.94,4
CUST-9D08743A,46-60,M,New,2,22.0,43
CUST-ADB43648,18-25,F,Loyal,11,259.92,62
CUST-353088AA,26-35,M,Loyal,2,69.37,5
CUST-2BAF7D25,26-35,M,Loyal,14,431.9,22
CUST-4E99CE68,26-35,M,Lapsed,10,229.94,92
CUST-0996AED3,26-35,F,Loyal,1,16.69,17
CUST-166C3BF6,60+,F,New,2,82.62,5
CUST-77544892,36-45,M,Loyal,3,52.96,9
CUST-FAD5DD31,36-45,M,At-Risk,15,718.19,16
CUST-5E59E0AA,18-25,F,Loyal,9,292.69,2
CUST-07701F50,18-25,F,New,5,158.81,19
CUST-B4819075,26-35,F,Loyal,5,185.05,51
CUST-B3A1F1F0,26-35,F,Loyal,1,31.0,35
CUST-691688EB,36-45,M,Loyal,4,45.65,1
CUST-36D2B840,26-35,M,At-Risk,13,141.52,37
CUST-71057D3E,26-35,M,At-Risk,9,298.91,4
CUST-5E8FF2D3,46-60,F,Loyal,6,121.9,22
CUST-8FD43A3C,60+,F,New,1,14.7,13
CUST-922CC677,18-25,M,Loyal,6,175.89,5
CUST-D0CA0FDA,46-60,F,Loyal,6,201.84,89
CUST-5F744E24,46-60,F,Loyal,2,67.12,13
CUST-AF10C0FF,36-45,M,At-Risk,10,204.8,8
CUST-508638FB,46-60,M,New,10,422.78,8
CUST-23602F65,36-45,F,New,15,659.63,2
CUST-52719880,60+,F,New,6,50.16,2
CUST-5AAEE7B7,26-35,M,New,5,254.95,40
CUST-15A86646,36-45,M,Loyal,13,437.32,7
CUST-BAAAEB96,46-60,M,Loyal,6,360.23,15
CUST-07396A20,60+,F,At-Risk,10,423.29,6
CUST-0D994EC9,36-45,M,New,12,310.15,7
CUST-507ABC8B,60+,M,Loyal,14,182.04,20
CUST-ECBFAB79,46-60,M,Lapsed,5,17.89,5
CUST-4B5FAAA4,46-60,Unknown,Loyal,10,217.72,2
CUST-E300B540,46-60,M,At-Risk,2,62.48,14
CUST-E990FE54,46-60,M,Loyal,12,487.9,21
CUST-79812F3A,36-45,F,New,1,2.37,41
CUST-9665CCC5,46-60,F,Loyal,11,151.48,20
CUST-833C81D4,18-25,F,At-Risk,4,151.1,81
CUST-72D91975,60+,Unknown,At-Risk,7,79.98,1
CUST-0C8883DD,46-60,F,Loyal,2,23.85,4
CUST-565969E9,46-60,M,Loyal,11,74.17,4
CUST-AC274EC7,18-25,M,Loyal,8,182.83,1
CUST-23CB8A8E,26-35,F,New,10,256.59,85
CUST-312E89F3,26-35,F,New,6,312.53,28
CUST-CF365B58,26-35,M,Lapsed,1,18.03,60
CUST-B3F62E30,46-60,F,New,9,64.13,89
CUST-F756E39F,60+,M,Loyal,11,590.97,4
CUST-33753C5A,46-60,F,Loyal,10,629.98,12
CUST-6A8B706C,36-45,M,Loyal,4,49.7,12
CUST-14B7E1DE,60+,M,Lapsed,11,373.31,6
CUST-BB3B4A03,60+,M,New,9,281.13,15
CUST-83C1FC1A,46-60,M,At-Risk,4,225.4,47
CUST-2EDE94EE,36-45,M,New,2,44.16,35
CUST-096D7F42,46-60,F,Loyal,5,33.6,56
CUST-3041240C,36-45,F,Loyal,1,7.33,41
CUST-86CA8ABC,26-35,F,At-Risk,11,529.3,20
CUST-DA2F4AE5,46-60,M,Loyal,1,54.6,2
CUST-D51472D6,46-60,F,Loyal,1,18.08,59
CUST-4E932EB6,36-45,F,Loyal,3,25.04,27
CUST-C84127A2,60+,F,New,5,27.26,5
CUST-75229E5B,60+,F,At-Risk,1,32.04,18
CUST-CFF8577D,36-45,F,Lapsed,10,578.67,15
CUST-ADD5D5F8,18-25,F,Loyal,2,24.91,61
CUST-36B30F1A,18-25,M,Loyal,13,282.13,20
CUST-E3774AEB,46-60,F,Loyal,9,223.94,7
CUST-3367B214,46-60,M,Loyal,2,54.6,10
CUST-B40F8B5D,36-45,F,New,7,367.86,38
CUST-A00C530D,18-25,F,Loyal,3,40.42,40
CUST-95A0B31D,26-35,Unknown,Loyal,15,650.14,38
CUST-3310865F,26-35,M,At-Risk,9,387.66,5
CUST-80D9AC02,46-60,F,Loyal,13,464.35,4
CUST-E88C8A8D,36-45,F,At-Risk,6,134.69,20
CUST-3EB83285,26-35,F,At-Risk,3,51.84,46
CUST-AB0EE891,36-45,F,Lapsed,4,126.56,17
CUST-240C5A0E,60+,M,Lapsed,7,146.81,8
CUST-29BAD7FD,36-45,Unknown,New,12,195.96,28
CUST-474E0CC1,26-35,Unknown,Loyal,7,386.66,9
CUST-3C32101E,36-45,Unknown,At-Risk,14,239.96,2
CUST-A34AEF5C,60+,F,At-Risk,6,306.5,13
CUST-29FA7B8E,26-35,F,New,4,97.09,17
CUST-7BC917E8,26-35,M,Loyal,8,46.42,5
CUST-75E91D8E,36-45,M,At-Risk,2,53.75,55
CUST-6EB5884C,36-45,M,Loyal,11,372.71,23
CUST-9ED77649,60+,F,Loyal,2,81.28,4
CUST-4E06EDCD,46-60,Unknown,Loyal,10,398.81,40
CUST-3D29AE3E,26-35,F,Loyal,6,77.37,7
CUST-9FD12F7A,60+,M,Loyal,6,300.66,41
CUST-03C3E453,46-60,F,New,10,210.86,8
CUST-2D4E4190,36-45,F,At-Risk,11,148.08,19
CUST-5C23F614,26-35,M,New,14,817.28,9
CUST-E93C46FF,46-60,F,At-Risk,5,51.97,65
CUST-66CA4945,60+,F,New,13,119.2,10
CUST-A88DC155,18-25,F,At-Risk,13,382.5,31
CUST-F52CB0FD,36-45,F,Loyal,15,418.36,15
CUST-264770D0,60+,M,Loyal,15,257.33,24
CUST-20BEE7B8,36-45,M,Loyal,12,726.02,3
CUST-50A20729,18-25,F,Loyal,5,81.48,27
CUST-5D4F757E,26-35,F,Loyal,11,530.31,50
CUST-ED349EB3,46-60,M,New,12,74.93,9
CUST-6724FB5F,46-60,F,At-Risk,5,65.76,18
CUST-8AC8234A,26-35,F,New,13,160.14,35
CUST-D6BE366F,26-35,M,Lapsed,11,137.91,35
CUST-16B07BAF,36-45,F,Loyal,8,158.83,34
CUST-5DD8AF75,46-60,M,New,13,491.97,3
CUST-D923138D,26-35,M,Lapsed,2,89.06,11
CUST-7B4C700E,36-45,M,New,11,258.87,17
CUST-E5722D6E,36-45,F,At-Risk,12,52.97,17
CUST-D79D5514,18-25,F,Loyal,1,36.94,30
CUST-A7FD6966,26-35,F,Loyal,7,96.53,30
CUST-0CBEA66E,60+,F,At-Risk,8,221.04,9
CUST-362F94FF,60+,M,New,4,187.55,35
CUST-DE864546,36-45,F,Loyal,14,175.53,3
CUST-89F9411B,60+,F,New,10,262.42,10
CUST-3AEC0FA4,46-60,F,At-Risk,5,199.2,2
CUST-E5FCEF3E,60+,M,Loyal,7,76.01,18
CUST-2F7B975B,60+,F,New,2,69.42,64
CUST-2AE98B37,46-60,F,Loyal,2,121.13,28
CUST-A34296BF,36-45,M,Loyal,12,260.89,8
CUST-24A72A8B,26-35,M,Lapsed,15,263.41,36
CUST-B012EB00,36-45,M,Lapsed,5,137.76,8
CUST-E75805AB,36-45,F,At-Risk,4,219.87,23
CUST-77E74B86,46-60,F,At-Risk,11,314.49,66
CUST-F4569967,18-25,M,At-Risk,8,182.33,66
CUST-8C670C6A,46-60,M,Loyal,3,57.19,48
CUST-E5A94144,60+,M,Loyal,11,586.08,20
CUST-D2BCA6B7,26-35,F,Loyal,4,224.94,42
CUST-808687F4,46-60,F,New,2,60.2,8
CUST-4157BDF1,46-60,M,At-Risk,7,422.17,19
CUST-69DA7EF4,36-45,F,Loyal,12,556.68,2
CUST-5D153D12,60+,Unknown,Loyal,8,318.9,5
CUST-50041E9E,36-45,M,At-Risk,10,161.37,36
CUST-EDAA366F,26-35,F,New,4,75.42,5
CUST-FFB89EE3,36-45,M,Lapsed,8,326.04,65
CUST-B0BD9579,36-45,M,Lapsed,11,357.48,44
CUST-41B7DDC0,26-35,F,Loyal,8,237.09,5
CUST-4FA4AECF,46-60,Unknown,At-Risk,4,158.47,65
CUST-C9D72B22,46-60,M,New,15,550.09,24
CUST-32877343,36-45,M,Loyal,2,35.32,4
CUST-CFEB4E04,36-45,M,At-Risk,14,198.33,22
CUST-1F97F4E6,36-45,F,New,11,270.89,3
CUST-C601642E,36-45,M,Loyal,2,16.5,14
CUST-9632D2BA,36-45,F,Loyal,4,38.3,58
CUST-F90FE5A8,36-45,M,Loyal,6,173.97,27
CUST-3C449A26,46-60,F,At-Risk,15,466.31,45
CUST-0B2832A1,60+,F,New,8,182.3,32
CUST-EEFD1E4A,36-45,M,Loyal,4,76.21,14
CUST-E9844CD5,46-60,F,At-Risk,14,316.19,6
CUST-6A97784C,60+,F,Loyal,2,30.56,61
CUST-EB92C3EE,26-35,M,Loyal,13,198.81,62
CUST-E3CAE5AF,26-35,F,Loyal,13,192.89,7
CUST-8E86AD4B,18-25,F,At-Risk,6,184.4,23
CUST-888B57B9,36-45,F,New,1,6.0,3
CUST-488CE666,36-45,F,Loyal,14,419.42,10
CUST-109F5069,36-45,M,Loyal,15,636.25,9
CUST-74879260,36-45,M,New,6,161.73,4
CUST-39B75D25,26-35,M,Lapsed,3,96.68,28
CUST-4EA9F63C,36-45,F,At-Risk,5,162.42,19
CUST-DCAD97B7,18-25,F,Loyal,3,118.86,62
CUST-B8FD3CD9,36-45,M,Loyal,10,244.52,23
CUST-9CCD5581,26-35,M,Loyal,8,140.99,14
CUST-B3B83093,26-35,M,Loyal,6,57.18,96
CUST-D2D822ED,18-25,F,Loyal,10,177.26,33
CUST-34E8B353,46-60,M,Loyal,10,75.16,13
CUST-86764F82,26-35,F,New,1,10.3,27
CUST-96491BAF,46-60,M,At-Risk,7,252.32,6
CUST-3D64E175,46-60,M,Loyal,13,520.36,5
CUST-1DF8F316,36-45,M,Loyal,12,213.98,26
CUST-2BEC224F,26-35,F,Loyal,13,330.3,4
CUST-7B1B1008,46-60,M,Loyal,15,195.53,20
CUST-07F5F488,18-25,F,Loyal,1,21.76,42
CUST-3AC80395,46-60,F,Loyal,5,187.77,3
CUST-3BDE1701,46-60,M,Lapsed,7,173.44,15
CUST-145E8968,36-45,F,Loyal,8,83.28,35
CUST-9CE76D59,26-35,M,New,12,468.36,3
CUST-BFAFBA70,46-60,F,Loyal,11,207.2,20
CUST-28F9CC98,36-45,F,Loyal,11,372.59,17
CUST-2E6B92EE,26-35,Unknown,At-Risk,3,13.59,67
CUST-D8E0526F,46-60,F,Loyal,11,170.75,30
CUST-71F74585,36-45,M,At-Risk,12,172.81,58
CUST-73E68313,60+,M,Loyal,12,666.3,40
CUST-D2D9AF52,46-60,M,Loyal,9,100.23,32
CUST-B3F62273,26-35,M,Loyal,2,42.91,40
CUST-0C776205,26-35,M,Loyal,3,186.82,7
CUST-C29900AF,36-45,M,Loyal,12,405.56,2
CUST-EEBDAF1F,46-60,Unknown,Loyal,14,268.42,8
CUST-448BDC3A,26-35,F,Loyal,13,316.8,41
CUST-1511C9D6,36-45,M,At-Risk,7,114.11,38
CUST-7A778F05,46-60,Unknown,Loyal,9,383.73,9
CUST-601E774E,18-25,F,Loyal,3,23.17,28
CUST-41B59B76,18-25,M,At-Risk,9,278.64,41
CUST-41D72366,46-60,F,Loyal,3,67.88,9
CUST-49BA88F6,36-45,Unknown,Loyal,12,371.33,27
CUST-DBE69FEF,36-45,F,Loyal,12,407.87,31
CUST-22DF7D9B,26-35,F,New,1,36.58,36
CUST-27438DA4,36-45,M,Loyal,15,892.9,19
CUST-C4B7C08A,36-45,F,Loyal,12,545.64,19
CUST-38E674B7,36-45,F,At-Risk,6,76.23,78
CUST-50F6159D,60+,F,Loyal,7,33.59,14
CUST-D66EB94B,18-25,M,At-Risk,2,32.01,27
CUST-4B13911A,36-45,F,New,15,406.58,55
CUST-4B6E77B8,60+,F,Loyal,2,33.51,69
CUST-E0818F34,26-35,F,Loyal,14,416.46,1
CUST-E214F4DB,60+,M,Loyal,10,421.0,23
CUST-1CF0CF45,36-45,M,Loyal,14,883.14,10
CUST-BEA002E1,26-35,M,New,6,116.74,22
CUST-8828D321,18-25,F,Loyal,14,632.94,6
CUST-A0E74331,36-45,M,Loyal,7,299.12,32
CUST-DE95DB70,60+,F,Loyal,6,299.45,29
CUST-860B34B5,60+,F,Loyal,6,280.39,55
CUST-BFB25291,36-45,M,Loyal,15,182.06,31
CUST-07168C38,26-35,F,Loyal,7,29.72,15
CUST-B7BFA9A4,36-45,M,Loyal,8,234.54,27
CUST-7ECD48BC,36-45,M,Loyal,10,234.07,51
CUST-1CE5C340,26-35,M,Loyal,9,420.98,1
CUST-53F06C98,18-25,F,Lapsed,9,393.74,42
CUST-FECB40F7,36-45,F,At-Risk,6,188.41,6
CUST-1DC95055,36-45,M,New,3,154.31,58
CUST-58881116,46-60,F,Loyal,15,427.38,8
CUST-B514116D,36-45,M,At-Risk,8,499.58,51
CUST-15E159C7,18-25,M,Loyal,15,326.16,20
CUST-AFF99754,18-25,F,Loyal,7,40.46,49
CUST-EC78DEB2,46-60,F,Loyal,9,42.82,4
CUST-1665C86A,46-60,Unknown,Loyal,9,199.23,25
CUST-91FE1D56,26-35,F,New,15,583.61,57
CUST-12CD718B,60+,M,Loyal,2,93.68,31
CUST-02F03BA8,46-60,M,New,8,171.22,21
CUST-4E4D4186,26-35,M,Loyal,3,41.26,3
CUST-C8121E60,26-35,F,New,14,384.39,21
CUST-DCADEAC5,60+,F,Loyal,8,260.32,40
CUST-B4702A1A,36-45,M,Loyal,14,624.83,19
CUST-E0417397,26-35,M,New,5,63.61,13
CUST-96EB6E87,36-45,M,New,3,37.0,14
CUST-752E500D,26-35,F,Lapsed,10,338.72,68
CUST-2048ECF9,46-60,M,Loyal,3,74.87,27
CUST-A65E05DB,46-60,F,Loyal,6,244.13,97
CUST-4145EA2F,46-60,M,Loyal,5,149.44,21
CUST-00F95952,46-60,F,Loyal,4,47.7,14
CUST-C63067F9,46-60,M,Loyal,2,31.3,13
CUST-648101F3,36-45,M,New,10,161.98,44
CUST-50CEBC6F,60+,M,Lapsed,12,194.02,11
CUST-BCDEF19F,26-35,M,Loyal,6,133.27,3
CUST-06FC6EBC,26-35,Unknown,Loyal,5,37.56,31
CUST-3C603723,60+,F,At-Risk,3,23.55,17
CUST-4C77F004,60+,M,Loyal,11,306.23,65
CUST-B69BD16F,36-45,F,Loyal,13,114.76,19
CUST-E8E9D765,36-45,F,Loyal,9,247.53,33
CUST-005655F2,26-35,F,Loyal,7,81.44,10
CUST-CC67FBD8,46-60,M,Loyal,10,183.61,13
CUST-A76144EF,18-25,M,At-Risk,14,130.01,16
CUST-FF5D8E1E,36-45,M,New,15,83.91,15
CUST-13DA0D00,36-45,F,Loyal,3,42.44,59
CUST-69E8CE6E,60+,M,Loyal,8,292.59,4
CUST-2C7AB73A,60+,F,New,14,831.71,7
CUST-E6B2312F,60+,F,Lapsed,10,53.03,33
CUST-BE42C5D7,46-60,M,Loyal,13,80.41,72
CUST-792AB995,26-35,M,New,15,135.0,41
CUST-8E6D7D76,18-25,M,Loyal,2,77.99,11
CUST-A9999453,36-45,F,At-Risk,10,148.36,23
CUST-E9368633,26-35,F,Loyal,8,105.39,24
CUST-911A2E14,46-60,M,Loyal,5,170.8,30
CUST-1B33C9D5,36-45,M,At-Risk,10,579.48,23
CUST-C53F1423,60+,F,Loyal,2,70.11,12
CUST-BFCE803E,36-45,F,Loyal,8,78.93,56
CUST-CD672C36,36-45,M,Loyal,7,93.42,8
CUST-2A935010,46-60,F,At-Risk,6,130.28,25
